sno,complaint,complaint_type,recieved_date,incident_date,county,incident_status_desc,incident_closed_date,incident_zip
1,426354,['Air'],2026-08-18,2026-08-18,Cecil,Under Investigation,,
2,426353,['Air'],2026-08-17,2026-08-17,Cecil,Under Investigation,,
3,426346,['Air'],2026-08-17,2026-08-17,Charles,Incident Closed-Managed,2026-08-17,
4,426345,['Air'],2026-08-14,2026-08-14,Frederick,Under Investigation,,21701
5,426343,"['Odor', 'Open Burning', 'Smoke']",2026-08-16,2026-08-16,Washington,Referred to Outside Agency,,21740
6,426342,['Other'],2026-08-10,2026-08-10,Allegany,Incident Closed - No further action,2026-08-17,21532
7,426334,['Other'],2026-08-14,2026-08-14,Prince George's,Incident Closed-Managed,2026-08-14,
8,426319,['Fugitive Dust/Particulate Matter'],2026-08-06,2026-08-06,Baltimore City,Incident Closed-Managed,2026-08-12,
9,426317,['Fugitive Dust/Particulate Matter'],2026-07-14,2026-07-14,Baltimore City,Incident Closed-Managed,2026-08-12,
10,426316,['Fugitive Dust/Particulate Matter'],2026-08-04,2026-08-04,Baltimore City,Incident Closed-Managed,2026-08-12,
11,426315,['Odor'],2026-07-28,2026-07-28,Baltimore City,Incident Closed-Managed,2026-08-12,
12,426311,['ARA AQCP non-regulated entity'],2026-08-10,2026-08-10,Talbot,Incident Closed - No further action,2026-08-10,
13,426304,['Odor'],2026-07-30,2026-07-30,Dorchester,Incident Closed - No further action,2026-07-30,21835
14,426303,['Odor'],2026-07-31,2026-07-31,Dorchester,Incident Closed - No further action,2026-07-31,21835
15,426286,['Air'],2026-08-04,2026-08-04,Anne Arundel,Incident Closed - No further action,2026-08-05,21061
16,426284,['Other'],2026-08-04,2026-08-04,Howard,Incident Closed-Managed,2026-08-05,
17,426282,['Open Burning'],2026-08-03,2026-08-03,Washington,Referred to Outside Agency,,21740
18,426279,['Other'],2026-08-03,2026-08-03,Allegany,Incident Closed - No further action,2026-08-04,21532
19,426278,['Odor'],2026-08-03,2026-07-31,Allegany,Under Investigation,,21502
20,426274,['Air'],2026-07-31,2026-07-31,Anne Arundel,Incident Closed-Managed,2026-08-12,21090
21,426273,['Air'],2026-08-03,2026-08-03,Anne Arundel,Under Investigation,,21114
22,426272,['Air'],2026-08-01,2026-08-01,Frederick,Under Investigation,,21701
23,426271,['Air'],2026-07-28,2026-07-28,Anne Arundel,Referred to LMA,,21225
24,426270,['Air'],2026-07-27,2026-07-27,Anne Arundel,Incident Closed-No Violation Observed,2026-08-04,21076
25,426261,['Other'],2026-07-28,2026-07-28,Prince George's,Incident Closed-Managed,2026-07-31,
26,426260,['Other'],2026-07-28,2026-07-27,Prince George's,Incident Closed-Managed,2026-08-10,
27,426253,"['Air', 'Open Burning', 'Smoke']",2026-07-24,2026-07-24,St. Mary's,Referred to Outside Agency,,
28,426252,['Odor'],2026-07-25,2026-07-25,Dorchester,Incident Closed - No further action,2026-07-25,21835
29,426251,['Odor'],2026-07-18,2026-07-18,Dorchester,Incident Closed - No further action,2026-07-18,21835
30,426243,['Fugitive Dust/Particulate Matter'],2026-07-28,2026-07-27,Garrett,Under Investigation,,21550
31,426239,['Other'],2026-07-16,2026-07-16,Allegany,Incident Closed - No further action,2026-07-27,21501
32,426220,['Air'],2026-07-22,2026-07-22,Anne Arundel,Under Investigation,,
33,426217,['Other'],2026-07-20,2026-07-20,Howard,Incident Closed-Managed,2026-08-05,21044
34,426216,['Other'],2026-07-22,2026-07-17,Howard,Incident Closed-Managed,2026-08-10,21044
35,426215,['Air'],2026-07-19,2026-07-19,Charles,Under Investigation,,20646
36,426214,['Air'],2026-07-20,2026-07-20,Anne Arundel,Incident Closed-Managed,2026-07-22,21122
37,426211,['Smoke'],2026-07-20,2026-07-20,Baltimore City,Incident Closed-Managed,2026-07-22,21212
38,426210,['Smoke'],2026-07-20,2026-07-20,Baltimore City,Incident Closed-Managed,2026-07-22,21212
39,426209,['Smoke'],2026-07-20,2026-07-20,Baltimore City,Incident Closed-Managed,2026-07-22,21212
40,426208,['Air'],2026-07-20,2026-07-20,Carroll,Incident Closed - No further action,2026-07-22,
41,426207,['Smoke'],2026-07-20,2026-07-20,Baltimore City,Incident Closed-Managed,2026-07-22,21212
42,426206,['Open Burning'],2026-07-17,2026-07-17,Carroll,Incident Closed-Managed,2026-07-22,
43,426205,['Air'],2026-07-10,2026-07-10,Baltimore,Under Investigation,,
