complaint_type,count
Air,868
Odor,557
Other,343
Fugitive Dust/Particulate Matter,163
Smoke,132
Open Burning,83
ARA AQCP non-regulated entity,70
Fumes,66
Air Pollutant Release,53
Agricultural,19
Asbestos Complaint,13
Noise Complaint,11
Suspected Operation without Permit,7
Non-Tidal Wetlands/Waterway,3
Lead Paint Poisoning Complaint,2
Groundwater Contamination,2
Unknown Substance,2
Oil Release/Spill (Surface),2
Possible Permit Violation,2
Coal Mining,1
Water Pollutant Release,1
Abandoned Drums/Tanks,1
Oil Release/Spill,1
Hazardous Waste,1
Illegal Dam,1
Waste,1
Equipment Malfunction,1
Chemical Release/Spill,1
Vapor Release,1
